Date,Open,High,Low,Close,Adj Close,Volume
2016-08-23,6.820000,6.960000,6.670000,6.670000,6.670000,5056100
2016-08-24,6.510000,6.640000,6.340000,6.560000,6.560000,3254075
2016-08-25,6.660000,7.050000,6.640000,6.830000,6.830000,6507462
2016-08-26,6.830000,7.090000,6.700000,7.090000,7.090000,4064919
2016-08-29,7.100000,7.300000,7.000000,7.040000,7.040000,4405779
2016-08-30,7.040000,7.040000,7.040000,7.040000,7.040000,0
2016-08-31,7.080000,7.220000,7.010000,7.060000,7.060000,1961560
2016-09-01,7.100000,7.180000,7.050000,7.050000,7.050000,1794083
2016-09-02,7.070000,7.370000,7.060000,7.370000,7.370000,3797562
2016-09-05,7.450000,7.590000,7.360000,7.400000,7.400000,3226930
2016-09-06,7.420000,7.500000,7.310000,7.330000,7.330000,1559207
2016-09-07,7.390000,7.410000,7.170000,7.300000,7.300000,1535720
2016-09-08,7.350000,7.600000,7.340000,7.600000,7.600000,1683521
2016-09-09,7.570000,7.630000,7.360000,7.380000,7.380000,1497241
2016-09-12,7.380000,7.380000,7.380000,7.380000,7.380000,0
2016-09-13,7.380000,7.380000,7.380000,7.380000,7.380000,0
2016-09-14,7.380000,7.380000,7.380000,7.380000,7.380000,0
2016-09-15,7.380000,7.380000,7.380000,7.380000,7.380000,0
2016-09-16,7.400000,7.430000,6.870000,6.950000,6.950000,2204862
2016-09-19,6.980000,7.110000,6.830000,7.040000,7.040000,1528893
2016-09-20,7.130000,7.800000,7.130000,7.800000,7.800000,7808159
2016-09-21,7.780000,8.000000,7.650000,7.650000,7.650000,2726005
2016-09-22,7.770000,7.980000,7.700000,7.900000,7.900000,1984870
2016-09-23,7.960000,8.030000,7.790000,7.810000,7.810000,1323273
2016-09-26,7.390000,7.700000,7.300000,7.590000,7.590000,1842062
2016-09-27,7.650000,7.920000,7.650000,7.740000,7.740000,2265365
2016-09-28,7.830000,7.900000,7.730000,7.750000,7.750000,1595840
2016-09-29,7.800000,7.800000,7.620000,7.670000,7.670000,817902
2016-09-30,7.570000,7.650000,7.550000,7.580000,7.580000,954391
2016-10-03,7.660000,7.760000,7.610000,7.640000,7.640000,904035
2016-10-04,7.690000,8.290000,7.680000,8.230000,8.230000,5033763
2016-10-05,8.150000,8.230000,7.820000,7.830000,7.830000,1970115
2016-10-06,7.900000,7.950000,7.750000,7.800000,7.800000,1389294
2016-10-07,7.820000,7.840000,7.600000,7.680000,7.680000,967638
2016-10-10,7.750000,7.750000,7.300000,7.360000,7.360000,1585849
2016-10-11,7.350000,7.430000,7.100000,7.180000,7.180000,2869416
2016-10-12,7.230000,7.300000,6.970000,7.000000,7.000000,2220079
2016-10-13,7.000000,7.040000,6.820000,6.840000,6.840000,2148991
2016-10-14,6.880000,7.230000,6.840000,7.040000,7.040000,4000781
2016-10-17,7.020000,7.120000,6.950000,6.990000,6.990000,1883637
2016-10-18,7.030000,7.400000,7.030000,7.270000,7.270000,10080186
2016-10-19,7.310000,7.470000,7.260000,7.260000,7.260000,4162303
2016-10-20,7.270000,7.370000,7.200000,7.210000,7.210000,1868749
2016-10-21,7.240000,7.480000,7.200000,7.450000,7.450000,8937432
2016-10-24,7.540000,7.670000,7.480000,7.560000,7.560000,3526739
2016-10-25,7.580000,7.850000,7.550000,7.630000,7.630000,8533430
2016-10-26,7.640000,7.870000,7.620000,7.870000,7.870000,4138147
2016-10-27,7.900000,8.100000,7.860000,8.080000,8.080000,8855152
2016-10-28,8.070000,8.090000,7.720000,7.840000,7.840000,2319444
2016-10-31,7.870000,7.970000,7.770000,7.810000,7.810000,3322510
2016-11-01,7.830000,7.850000,7.250000,7.280000,7.280000,3288006
2016-11-02,7.290000,7.650000,7.280000,7.630000,7.630000,4813116
2016-11-03,7.630000,7.680000,7.430000,7.460000,7.460000,1886920
2016-11-04,7.310000,7.910000,7.270000,7.720000,7.720000,11203720
2016-11-07,7.900000,8.750000,7.760000,8.620000,8.620000,7496515
2016-11-08,8.720000,8.970000,8.640000,8.660000,8.660000,5567747
2016-11-09,7.480000,8.200000,7.320000,7.750000,7.750000,14189422
2016-11-10,7.820000,7.980000,7.530000,7.530000,7.530000,4450799
2016-11-11,7.500000,7.670000,7.240000,7.240000,7.240000,3320960
2016-11-14,7.260000,7.340000,6.980000,7.080000,7.080000,3290028
2016-11-15,7.120000,7.180000,6.910000,6.960000,6.960000,2776980
2016-11-16,6.970000,7.270000,6.920000,7.230000,7.230000,8363630
2016-11-17,7.240000,7.370000,7.040000,7.040000,7.040000,4949170
2016-11-18,7.040000,7.260000,6.980000,7.200000,7.200000,4356501
2016-11-21,7.300000,7.320000,7.170000,7.170000,7.170000,2574126
2016-11-22,7.150000,7.350000,7.140000,7.150000,7.150000,4378866
2016-11-23,7.180000,7.210000,6.900000,6.900000,6.900000,3083877
2016-11-24,6.920000,6.960000,6.680000,6.700000,6.700000,2343761
2016-11-25,6.710000,6.790000,6.610000,6.640000,6.640000,1876680
2016-11-28,6.720000,6.890000,6.680000,6.700000,6.700000,2972981
2016-11-29,6.700000,6.760000,6.500000,6.550000,6.550000,2390295
2016-11-30,6.580000,6.650000,6.230000,6.300000,6.300000,2190198
2016-12-01,6.320000,6.330000,5.980000,6.000000,6.000000,2291309
2016-12-02,6.020000,6.350000,5.950000,6.230000,6.230000,2539201
2016-12-05,6.200000,6.550000,6.170000,6.380000,6.380000,4438336
2016-12-06,6.450000,6.530000,6.420000,6.450000,6.450000,1628343
2016-12-07,6.480000,6.500000,6.400000,6.430000,6.430000,1089094
2016-12-08,6.460000,6.620000,6.440000,6.530000,6.530000,2693256
2016-12-09,6.580000,6.930000,6.580000,6.850000,6.850000,6206306
2016-12-12,6.830000,6.950000,6.580000,6.650000,6.650000,4294419
2016-12-13,6.680000,6.740000,6.620000,6.640000,6.640000,1469006
2016-12-14,6.650000,6.700000,6.550000,6.550000,6.550000,1188245
2016-12-15,6.540000,6.680000,6.510000,6.640000,6.640000,1474940
2016-12-16,6.690000,6.800000,6.660000,6.750000,6.750000,2120002
2016-12-19,6.770000,6.840000,6.710000,6.710000,6.710000,1723827
2016-12-20,6.700000,6.820000,6.690000,6.760000,6.760000,1741171
2016-12-21,6.790000,6.890000,6.770000,6.770000,6.770000,2699228
2016-12-22,6.790000,6.800000,6.630000,6.640000,6.640000,1292172
2016-12-23,6.660000,6.670000,6.570000,6.590000,6.590000,743600
2016-12-26,6.600000,6.630000,6.560000,6.570000,6.570000,573214
2016-12-27,6.580000,6.610000,6.530000,6.530000,6.530000,541516
2016-12-28,6.540000,6.630000,6.530000,6.550000,6.550000,1075977
2016-12-29,6.560000,6.610000,6.550000,6.570000,6.570000,870429
2016-12-30,6.590000,6.820000,6.570000,6.780000,6.780000,4659364
2017-01-02,6.800000,6.970000,6.780000,6.840000,6.840000,3709996
2017-01-03,6.860000,6.910000,6.740000,6.780000,6.780000,1562641
2017-01-04,6.810000,6.950000,6.800000,6.910000,6.910000,2699127
2017-01-05,6.950000,7.070000,6.830000,6.900000,6.900000,4585834
2017-01-06,6.890000,6.960000,6.840000,6.860000,6.860000,1256773
2017-01-09,7.000000,7.310000,6.900000,7.260000,7.260000,5252544
2017-01-10,7.270000,7.400000,7.170000,7.280000,7.280000,4390409
2017-01-11,7.200000,7.330000,7.200000,7.200000,7.200000,2490495
2017-01-12,7.260000,7.440000,7.240000,7.360000,7.360000,5345314
2017-01-13,7.370000,7.480000,7.330000,7.330000,7.330000,2823841
2017-01-16,7.350000,7.560000,7.330000,7.520000,7.520000,4461266
