Date,Open,High,Low,Close,Adj Close,Volume
2016-08-23,5.670000,5.740000,5.660000,5.710000,5.221489,13776700
2016-08-24,5.750000,5.790000,5.740000,5.750000,5.258068,7299100
2016-08-25,5.710000,5.730000,5.680000,5.700000,5.212345,4586600
2016-08-26,5.690000,5.760000,5.660000,5.690000,5.203200,8050100
2016-08-29,5.670000,5.710000,5.660000,5.690000,5.203200,3092300
2016-08-30,5.720000,5.760000,5.710000,5.740000,5.248923,6603900
2016-08-31,5.710000,5.740000,5.630000,5.670000,5.184911,7524700
2016-09-01,5.700000,5.720000,5.630000,5.660000,5.175767,6699000
2016-09-02,5.710000,5.770000,5.690000,5.760000,5.267212,5520500
2016-09-06,5.740000,5.770000,5.730000,5.740000,5.248923,4781100
2016-09-07,5.790000,5.890000,5.790000,5.870000,5.367800,8347800
2016-09-08,5.830000,5.840000,5.780000,5.830000,5.331222,8230100
2016-09-09,5.760000,5.770000,5.700000,5.700000,5.212345,13606200
2016-09-12,5.540000,5.690000,5.530000,5.680000,5.194056,18320700
2016-09-13,5.630000,5.640000,5.550000,5.600000,5.120900,18870400
2016-09-14,5.550000,5.590000,5.490000,5.500000,5.029455,22157700
2016-09-15,5.460000,5.560000,5.450000,5.560000,5.084322,15569400
2016-09-16,5.430000,5.480000,5.400000,5.470000,5.002021,14984900
2016-09-19,5.470000,5.550000,5.470000,5.510000,5.038600,5608400
2016-09-20,5.520000,5.520000,5.470000,5.500000,5.029455,5179800
2016-09-21,5.530000,5.580000,5.500000,5.580000,5.102611,8012300
2016-09-22,5.740000,5.750000,5.710000,5.740000,5.248923,14045100
2016-09-23,5.650000,5.700000,5.640000,5.660000,5.175767,7359600
2016-09-26,5.610000,5.650000,5.610000,5.620000,5.139188,5833900
2016-09-27,5.580000,5.720000,5.580000,5.710000,5.221489,6159100
2016-09-28,5.730000,5.750000,5.680000,5.740000,5.248923,5130000
2016-09-29,5.750000,5.790000,5.700000,5.720000,5.230633,5827600
2016-09-30,5.760000,5.830000,5.750000,5.790000,5.294645,8956900
2016-10-03,5.770000,5.790000,5.750000,5.750000,5.258068,5647900
2016-10-04,5.780000,5.830000,5.740000,5.780000,5.285501,5806100
2016-10-05,5.770000,5.770000,5.690000,5.710000,5.221489,13053200
2016-10-06,5.590000,5.590000,5.520000,5.540000,5.066033,18095400
2016-10-07,5.410000,5.500000,5.410000,5.490000,5.020310,13812900
2016-10-10,5.500000,5.560000,5.490000,5.530000,5.056889,9067700
2016-10-11,5.480000,5.480000,5.370000,5.390000,4.928866,13911100
2016-10-12,5.150000,5.180000,5.090000,5.090000,4.654532,32049600
2016-10-13,4.960000,4.960000,4.880000,4.940000,4.517365,23210800
2016-10-14,4.990000,5.040000,4.950000,4.950000,4.526510,8422100
2016-10-17,4.960000,4.990000,4.940000,4.970000,4.544799,6319500
2016-10-18,5.010000,5.040000,4.980000,5.020000,4.590521,8455000
2016-10-19,4.990000,4.990000,4.950000,4.980000,4.553944,5479900
2016-10-20,4.970000,5.020000,4.970000,5.000000,4.572233,6489200
2016-10-21,4.940000,4.950000,4.900000,4.920000,4.499076,10177100
2016-10-24,4.960000,4.990000,4.950000,4.970000,4.544799,5761600
2016-10-25,4.930000,4.980000,4.920000,4.970000,4.544799,9113200
2016-10-26,5.070000,5.200000,5.070000,5.160000,4.718543,16725600
2016-10-27,4.790000,4.790000,4.710000,4.730000,4.325332,36409600
2016-10-28,4.570000,4.620000,4.540000,4.560000,4.169876,27200200
2016-10-31,4.520000,4.530000,4.470000,4.480000,4.096720,14435700
2016-11-01,4.450000,4.470000,4.400000,4.440000,4.060143,21474000
2016-11-02,4.430000,4.480000,4.410000,4.440000,4.060143,11712400
2016-11-03,4.430000,4.450000,4.380000,4.390000,4.014420,16909000
2016-11-04,4.320000,4.340000,4.300000,4.310000,3.941264,12419900
2016-11-07,4.480000,4.490000,4.390000,4.440000,4.060143,19614600
2016-11-08,4.420000,4.450000,4.370000,4.440000,4.060143,10485100
2016-11-09,4.360000,4.460000,4.350000,4.450000,4.069287,11165500
2016-11-10,4.480000,4.530000,4.450000,4.490000,4.105865,11349600
2016-11-11,4.430000,4.450000,4.360000,4.420000,4.041853,11802600
2016-11-14,4.320000,4.330000,4.280000,4.310000,3.941264,12622900
2016-11-15,4.070000,4.150000,4.040000,4.140000,3.785808,33821900
2016-11-16,4.100000,4.160000,4.100000,4.120000,3.767519,13836600
2016-11-17,4.190000,4.220000,4.140000,4.150000,3.794953,10611600
2016-11-18,4.200000,4.210000,4.150000,4.160000,3.804097,6631700
2016-11-21,4.160000,4.180000,4.140000,4.170000,3.813242,6049500
2016-11-22,4.170000,4.200000,4.160000,4.190000,3.831531,7696800
2016-11-23,4.150000,4.200000,4.130000,4.190000,3.831531,6472600
2016-11-25,4.340000,4.360000,4.310000,4.330000,3.959553,8090000
2016-11-28,4.280000,4.290000,4.240000,4.260000,3.895542,8120800
2016-11-29,4.270000,4.310000,4.260000,4.290000,3.922975,6298800
2016-11-30,4.320000,4.330000,4.290000,4.300000,3.932120,10212900
2016-12-01,4.300000,4.310000,4.250000,4.250000,3.886397,7047400
2016-12-02,4.230000,4.260000,4.200000,4.230000,3.868108,6893700
2016-12-05,4.330000,4.510000,4.320000,4.510000,4.124154,18421000
2016-12-06,4.540000,4.600000,4.510000,4.570000,4.179020,18245300
2016-12-07,4.620000,4.730000,4.610000,4.700000,4.297898,17711600
2016-12-08,4.630000,4.650000,4.560000,4.580000,4.188165,22302200
