Date,Open,High,Low,Close,Adj Close,Volume
2016-08-23,3.170000,3.290000,3.110000,3.230000,3.230000,351000
2016-08-24,3.210000,3.220000,2.900000,2.970000,2.970000,233300
2016-08-25,2.930000,3.010000,2.750000,2.970000,2.970000,84100
2016-08-26,2.960000,2.990000,2.820000,2.870000,2.870000,122100
2016-08-29,2.890000,2.960000,2.810000,2.890000,2.890000,50700
2016-08-30,2.960000,3.030000,2.880000,2.920000,2.920000,93400
2016-08-31,2.880000,2.920000,2.670000,2.740000,2.740000,200100
2016-09-01,2.690000,2.840000,2.610000,2.750000,2.750000,274300
2016-09-02,2.720000,2.830000,2.630000,2.770000,2.770000,128100
2016-09-06,2.740000,2.890000,2.680000,2.850000,2.850000,117100
2016-09-07,2.890000,2.890000,2.750000,2.830000,2.830000,128700
2016-09-08,2.790000,2.800000,2.680000,2.690000,2.690000,116600
2016-09-09,2.650000,2.700000,2.530000,2.540000,2.540000,123800
2016-09-12,2.500000,2.640000,2.470000,2.520000,2.520000,244000
2016-09-13,2.510000,2.590000,2.500000,2.540000,2.540000,37900
2016-09-14,2.560000,2.690000,2.550000,2.650000,2.650000,108600
2016-09-15,2.620000,2.790000,2.620000,2.690000,2.690000,122200
2016-09-16,2.700000,2.840000,2.660000,2.770000,2.770000,136900
2016-09-19,2.800000,2.830000,2.650000,2.720000,2.720000,65700
2016-09-20,2.750000,2.840000,2.730000,2.830000,2.830000,67200
2016-09-21,2.820000,2.900000,2.720000,2.830000,2.830000,87800
2016-09-22,2.850000,2.880000,2.670000,2.850000,2.850000,110500
2016-09-23,2.890000,2.900000,2.750000,2.810000,2.810000,84300
2016-09-26,2.780000,2.850000,2.690000,2.760000,2.760000,31300
2016-09-27,2.720000,2.830000,2.710000,2.770000,2.770000,82600
2016-09-28,2.840000,2.880000,2.770000,2.840000,2.840000,46700
2016-09-29,2.790000,2.900000,2.710000,2.740000,2.740000,97900
2016-09-30,2.740000,2.840000,2.740000,2.790000,2.790000,28800
2016-10-03,2.780000,2.940000,2.780000,2.910000,2.910000,64000
2016-10-04,2.930000,3.040000,2.920000,3.020000,3.020000,106400
2016-10-05,3.050000,3.050000,2.820000,2.830000,2.830000,144600
2016-10-06,2.870000,2.900000,2.750000,2.840000,2.840000,58600
2016-10-07,2.830000,2.830000,2.710000,2.780000,2.780000,108300
2016-10-10,2.800000,2.810000,2.730000,2.760000,2.760000,41800
2016-10-11,2.760000,2.790000,2.640000,2.670000,2.670000,55500
2016-10-12,2.660000,2.670000,2.560000,2.650000,2.650000,50600
2016-10-13,2.600000,2.690000,2.580000,2.670000,2.670000,44500
2016-10-14,2.690000,2.750000,2.660000,2.680000,2.680000,39600
2016-10-17,2.700000,2.730000,2.660000,2.670000,2.670000,12400
2016-10-18,2.700000,2.720000,2.660000,2.690000,2.690000,21100
2016-10-19,2.710000,2.860000,2.670000,2.790000,2.790000,137700
2016-10-20,2.800000,2.890000,2.770000,2.850000,2.850000,87100
2016-10-21,2.880000,2.900000,2.690000,2.870000,2.870000,101200
2016-10-24,2.890000,2.890000,2.820000,2.860000,2.860000,39900
2016-10-25,2.870000,2.870000,2.790000,2.850000,2.850000,18700
2016-10-26,2.840000,2.850000,2.770000,2.800000,2.800000,63200
2016-10-27,2.750000,2.930000,2.740000,2.860000,2.860000,219200
2016-10-28,2.950000,3.140000,2.810000,2.860000,2.860000,392900
2016-10-31,2.890000,3.030000,2.780000,2.800000,2.800000,218100
2016-11-01,2.790000,2.890000,2.620000,2.620000,2.620000,129200
2016-11-02,2.520000,2.780000,2.520000,2.730000,2.730000,100300
2016-11-03,2.760000,2.850000,2.660000,2.720000,2.720000,105400
2016-11-04,2.750000,2.760000,2.630000,2.700000,2.700000,76200
2016-11-07,2.720000,2.840000,2.670000,2.740000,2.740000,95100
2016-11-08,2.750000,2.800000,2.690000,2.700000,2.700000,96100
2016-11-09,2.510000,2.800000,2.170000,2.720000,2.720000,181700
2016-11-10,2.740000,2.820000,2.620000,2.730000,2.730000,123500
2016-11-11,2.740000,2.830000,2.690000,2.770000,2.770000,61800
2016-11-14,2.780000,2.880000,2.760000,2.870000,2.870000,113200
2016-11-15,2.890000,3.120000,2.810000,3.070000,3.070000,268700
2016-11-16,3.000000,3.100000,2.760000,2.800000,2.800000,279000
2016-11-17,2.790000,2.980000,2.790000,2.930000,2.930000,114000
2016-11-18,2.950000,3.010000,2.870000,2.940000,2.940000,171300
2016-11-21,2.960000,3.000000,2.810000,2.970000,2.970000,134400
2016-11-22,2.980000,3.490000,2.980000,3.340000,3.340000,1637600
2016-11-23,3.370000,3.370000,3.050000,3.150000,3.150000,532800
2016-11-25,3.160000,3.320000,3.050000,3.250000,3.250000,170800
2016-11-28,3.250000,3.250000,3.070000,3.080000,3.080000,178000
2016-11-29,3.110000,3.250000,3.000000,3.160000,3.160000,412200
2016-11-30,3.190000,3.190000,3.020000,3.080000,3.080000,163400
2016-12-01,3.080000,3.120000,2.750000,2.830000,2.830000,316800
2016-12-02,2.870000,2.920000,2.760000,2.820000,2.820000,93900
2016-12-05,2.870000,2.870000,2.720000,2.820000,2.820000,184800
2016-12-06,2.850000,2.850000,2.790000,2.800000,2.800000,30400
2016-12-07,2.810000,2.900000,2.740000,2.760000,2.760000,120600
2016-12-08,2.750000,2.850000,2.730000,2.840000,2.840000,163100
2016-12-09,2.840000,2.890000,2.770000,2.860000,2.860000,151400
2016-12-12,2.870000,2.870000,2.760000,2.760000,2.760000,112100
2016-12-13,2.800000,2.860000,2.750000,2.750000,2.750000,129400
2016-12-14,2.730000,2.800000,2.610000,2.660000,2.660000,134000
2016-12-15,2.650000,2.750000,2.640000,2.710000,2.710000,138400
2016-12-16,2.710000,2.800000,2.550000,2.600000,2.600000,164000
2016-12-19,2.580000,2.650000,2.470000,2.560000,2.560000,483100
2016-12-20,2.520000,2.790000,2.440000,2.740000,2.740000,334600
2016-12-21,2.720000,2.800000,2.660000,2.780000,2.780000,170200
2016-12-22,2.770000,2.800000,2.750000,2.770000,2.770000,84500
2016-12-23,2.790000,2.840000,2.730000,2.820000,2.820000,99600
2016-12-27,2.810000,3.000000,2.800000,2.930000,2.930000,274200
2016-12-28,2.970000,2.970000,2.760000,2.830000,2.830000,117200
2016-12-29,2.810000,2.860000,2.660000,2.740000,2.740000,134300
2016-12-30,2.730000,2.800000,2.650000,2.800000,2.800000,227600
2017-01-03,2.840000,2.900000,2.810000,2.870000,2.870000,67900
2017-01-04,2.850000,2.870000,2.810000,2.820000,2.820000,44400
2017-01-05,2.830000,2.880000,2.800000,2.840000,2.840000,74000
2017-01-06,2.850000,2.880000,2.800000,2.840000,2.840000,94800
2017-01-09,2.810000,2.850000,2.800000,2.820000,2.820000,68200
2017-01-10,3.200000,3.230000,3.020000,3.050000,3.050000,448600
2017-01-11,3.050000,3.070000,2.900000,2.940000,2.940000,215500
2017-01-12,3.000000,3.000000,2.860000,2.930000,2.930000,101300
2017-01-13,2.930000,3.000000,2.930000,3.000000,3.000000,88900
2017-01-17,3.000000,3.090000,3.000000,3.030000,3.030000,249900
2017-01-18,3.050000,3.100000,2.990000,2.990000,2.990000,113000
2017-01-19,3.020000,3.100000,3.000000,3.010000,3.010000,107800
2017-01-20,3.040000,3.040000,2.950000,2.960000,2.960000,142800
2017-01-23,2.970000,3.010000,2.910000,2.970000,2.970000,82500
2017-01-24,2.980000,3.020000,2.910000,2.930000,2.930000,165000
2017-01-25,2.960000,3.020000,2.890000,3.000000,3.000000,130000
2017-01-26,3.010000,3.040000,2.980000,3.010000,3.010000,75000
2017-01-27,3.030000,3.030000,2.950000,2.990000,2.990000,91000
2017-01-30,2.970000,2.970000,2.890000,2.890000,2.890000,124000
2017-01-31,2.890000,2.970000,2.850000,2.920000,2.920000,167600
2017-02-01,2.950000,3.060000,2.900000,3.040000,3.040000,128800
2017-02-02,3.060000,3.160000,2.940000,3.140000,3.140000,475800
2017-02-03,3.590000,3.750000,3.360000,3.550000,3.550000,2739100
2017-02-06,3.540000,3.680000,3.340000,3.600000,3.600000,1028400
2017-02-07,3.600000,3.650000,3.490000,3.620000,3.620000,461800
2017-02-08,3.620000,3.820000,3.620000,3.780000,3.780000,1007700
